国名（日本語）,code3,輸出1位_品目,輸出2位_品目,輸出3位_品目,輸出4位_品目,輸出5位_品目,輸出6位_品目,輸出7位_品目,輸出8位_品目,輸出9位_品目,輸出10位_品目,輸入1位_品目,輸入2位_品目,輸入3位_品目,輸入4位_品目,輸入5位_品目,輸入6位_品目,輸入7位_品目,輸入8位_品目,輸入9位_品目,輸入10位_品目,貿易相手1位_国名,貿易相手1位_シェア%,貿易相手2位_国名,貿易相手2位_シェア%,貿易相手3位_国名,貿易相手3位_シェア%,貿易相手4位_国名,貿易相手4位_シェア%,貿易相手5位_国名,貿易相手5位_シェア%,貿易相手6位_国名,貿易相手6位_シェア%,貿易相手7位_国名,貿易相手7位_シェア%,貿易相手8位_国名,貿易相手8位_シェア%,貿易相手9位_国名,貿易相手9位_シェア%,貿易相手10位_国名,貿易相手10位_シェア%,貿易統計_年,貿易統計_出典
コモロ,COM,コーヒー・茶・スパイス,精油・香料・化粧品,鉄鋼,動物性・植物性油脂,電気機器・録音機・テレビ等,船舶・浮体構造物,鉄鋼製品,自動車・同部品,各種調製食料品,一般機械・原子炉・ボイラー等,穀物,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,肉・食用屑,塩・硫黄・土石類・セメント,鉄鋼,穀粉・でん粉・麦芽,電気機器・録音機・テレビ等,酪農品・鳥卵・蜂蜜,一般機械・原子炉・ボイラー等,インドネシア,34.0%,ベトナム,11.2%,インド,8.2%,アラブ首長国連邦,4.7%,フランス,4.7%,Senegal,3.8%,アメリカ,3.5%,シンガポール,3.1%,イギリス,2.8%,メキシコ,2.6%,2023,UN Comtrade / IMF DOTS (2023年)
キューバ,CUB,ニッケル・同製品,飲料・アルコール・酢,たばこ・製造たばこ代用品,鉱物燃料・エネルギー（原油・石炭等）,亜鉛・同製品,医薬品,糖類・砂糖菓子,魚介類・甲殻類,鉛・同製品,木材・木製品・木炭,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,穀物,肉・食用屑,電気機器・録音機・テレビ等,プラスチック・同製品,自動車・同部品,飲料・アルコール・酢,酪農品・鳥卵・蜂蜜,動物性・植物性油脂,スペイン,23.5%,中国,14.9%,Bermuda,6.5%,イラン,6.1%,香港,6.1%,"Venezuela, República Bolivariana de",5.6%,ベトナム,3.6%,Gibraltar,3.5%,ドイツ,3.1%,Cyprus,2.3%,2022,UN Comtrade / IMF DOTS (2022年)
ジブチ,DJI,動物性・植物性油脂,自動車・同部品,鉄鋼,糖類・砂糖菓子,プラスチック・同製品,穀物,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,無機化学品・貴金属化合物,食用の野菜・根菜,動物性・植物性油脂,自動車・同部品,鉄鋼,糖類・砂糖菓子,鉱物燃料・エネルギー（原油・石炭等）,穀物,プラスチック・同製品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,書籍・新聞・絵画・印刷物,"Ethiopia, The Federal Democratic Republic of",85.9%,フランス,4.0%,アラブ首長国連邦,2.8%,アメリカ,1.5%,Somalia,1.1%,イエメン,1.0%,ナイジェリア,0.9%,中国,0.4%,オマーン,0.3%,カナダ,0.3%,2023,UN Comtrade / IMF DOTS (2023年)
ドミニカ国,DMA,一般機械・原子炉・ボイラー等,果実・ナッツ,食用の野菜・根菜,石けん・有機界面活性剤・ワックス,なめし・染色エキス・塗料・インキ,コーヒー・茶・スパイス,電気機器・録音機・テレビ等,自動車・同部品,プラスチック・同製品,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,飲料・アルコール・酢,自動車・同部品,肉・食用屑,木材・木製品・木炭,プラスチック・同製品,鉄鋼製品,各種調製食料品,Mauritius,61.8%,Antigua and Barbuda,10.4%,Iceland,5.8%,St. Lucia,4.1%,St. Kitts and Nevis,2.4%,フランス,2.1%,アメリカ,2.0%,Barbados,1.2%,クロアチア,1.1%,"Anguilla, United Kingdom-British Overseas Territory",1.0%,2023,UN Comtrade / IMF DOTS (2023年)
エリトリア,ERI,鉱石・スラグ・灰,衣類・衣類付属品（織物）,医薬品,飲料・アルコール・酢,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,動物（生体）,プラスチック・同製品,特殊取扱品（その他）,穀粉・でん粉・麦芽,一般機械・原子炉・ボイラー等,動物性・植物性油脂,食用の野菜・根菜,電気機器・録音機・テレビ等,鉄鋼,無機化学品・貴金属化合物,鉄鋼製品,自動車・同部品,ゴム・同製品,中国,95.6%,韓国,1.2%,クロアチア,0.7%,イタリア,0.4%,イギリス,0.4%,アラブ首長国連邦,0.3%,Guyana,0.2%,オランダ,0.2%,Sudan,0.1%,シンガポール,0.1%,2024,UN Comtrade / IMF DOTS (2024年)
エチオピア,ETH,コーヒー・茶・スパイス,食用の野菜・根菜,採油用種子・果実・藁,生花・盆栽・苗木,肉・食用屑,衣類・衣類付属品（編物）,一般機械・原子炉・ボイラー等,衣類・衣類付属品（織物）,穀物・粉製品・製菓,原料皮・革,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,肥料,プラスチック・同製品,動物性・植物性油脂,医薬品,鉄鋼,穀物,アメリカ,10.3%,サウジアラビア,9.0%,ドイツ,7.7%,インド,7.3%,Kenya,6.3%,アラブ首長国連邦,5.6%,Somalia,4.9%,オランダ,4.7%,中国,4.1%,ベルギー,3.7%,2023,UN Comtrade / IMF DOTS (2023年)
ミクロネシア連邦,FSM,魚介類・甲殻類,果実・ナッツ,採油用種子・果実・藁,各種調製食料品,木材・木製品・木炭,生花・盆栽・苗木,各種の卑金属製品,食用の野菜・根菜,肉・食用屑,塩・硫黄・土石類・セメント,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,穀物,肉・食用屑,自動車・同部品,肉・魚介類の調製品,一般機械・原子炉・ボイラー等,特殊取扱品（その他）,穀物・粉製品・製菓,飲料・アルコール・酢,タイ,61.0%,中国,13.5%,フィリピン,9.2%,Mauritius,5.6%,Guam,3.3%,Ecuador,2.0%,"Marshall Islands, Republic of the",1.8%,日本,1.4%,アメリカ,0.7%,韓国,0.4%,2013,UN Comtrade / IMF DOTS (2013年)
ガボン,GAB,鉱物燃料・エネルギー（原油・石炭等）,鉱石・スラグ・灰,船舶・浮体構造物,木材・木製品・木炭,動物性・植物性油脂,一般機械・原子炉・ボイラー等,鉄鋼製品,電気機器・録音機・テレビ等,鉄鋼,航空機・宇宙船・同部品,船舶・浮体構造物,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼製品,自動車・同部品,電気機器・録音機・テレビ等,肉・食用屑,穀物,鉄道車両・軌道部品・交通信号機,医薬品,中国,28.8%,マレーシア,11.3%,インド,8.1%,インドネシア,8.0%,アメリカ,7.8%,"Congo, Republic of",5.3%,フランス,3.5%,スイス,3.0%,ブラジル,2.4%,スペイン,2.3%,2023,UN Comtrade / IMF DOTS (2023年)
ガーナ,GHA,真珠・貴金属・宝石・装飾品,鉱物燃料・エネルギー（原油・石炭等）,ココア・ココア調製品,鉱石・スラグ・灰,果実・ナッツ,鉄鋼,動物性・植物性油脂,プラスチック・同製品,肉・魚介類の調製品,アルミニウム・同製品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,プラスチック・同製品,電気機器・録音機・テレビ等,鉄鋼,各種化学工業生産品,塩・硫黄・土石類・セメント,鉄鋼製品,穀粉・でん粉・麦芽,スイス,24.4%,アラブ首長国連邦,21.8%,オランダ,7.3%,インド,6.3%,中国,5.0%,ブラジル,4.8%,カナダ,3.6%,フランス,3.6%,アメリカ,3.0%,Burkina Faso,2.3%,2023,UN Comtrade / IMF DOTS (2023年)
ギニア,GIN,真珠・貴金属・宝石・装飾品,鉱石・スラグ・灰,プラスチック・同製品,魚介類・甲殻類,果実・ナッツ,ゴム・同製品,コーヒー・茶・スパイス,鉱物燃料・エネルギー（原油・石炭等）,ココア・ココア調製品,一般機械・原子炉・ボイラー等,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,果実・ナッツ,穀物,医薬品,電気機器・録音機・テレビ等,船舶・浮体構造物,鉄鋼製品,鉄鋼,中国,33.1%,ガーナ,18.9%,インド,16.1%,マレーシア,13.1%,アラブ首長国連邦,4.4%,イタリア,2.5%,アイルランド,2.0%,ドイツ,1.8%,オランダ,1.8%,スペイン,1.4%,2016,UN Comtrade / IMF DOTS (2016年)
ギニアビサウ,GNB,果実・ナッツ,木材・木製品・木炭,,,,,,,,,穀物,鉱物燃料・エネルギー（原油・石炭等）,飲料・アルコール・酢,電気機器・録音機・テレビ等,自動車・同部品,塩・硫黄・土石類・セメント,穀粉・でん粉・麦芽,一般機械・原子炉・ボイラー等,鉄鋼,酪農品・鳥卵・蜂蜜,シンガポール,45.2%,インド,33.7%,中国,11.0%,ベトナム,3.3%,日本,1.4%,Côte d'Ivoire,0.9%,ナイジェリア,0.8%,アラブ首長国連邦,0.8%,マレーシア,0.7%,トルコ,0.3%,2018,UN Comtrade / IMF DOTS (2018年)
赤道ギニア,GNQ,鉱物燃料・エネルギー（原油・石炭等）,有機化学品,木材・木製品・木炭,ココア・ココア調製品,アルミニウム・同製品,銅・同製品,鉄鋼,一般機械・原子炉・ボイラー等,雑品,自動車・同部品,飲料・アルコール・酢,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,肉・食用屑,鉄鋼製品,プラスチック・同製品,穀物・粉製品・製菓,自動車・同部品,穀粉・でん粉・麦芽,野菜・果実等の調製品,中国,21.2%,スペイン,15.5%,韓国,9.0%,インド,8.5%,オランダ,6.8%,インドネシア,5.7%,イタリア,5.6%,台湾,4.4%,日本,3.3%,アメリカ,2.6%,2024,UN Comtrade / IMF DOTS (2024年)
ハイチ,HTI,精油・香料・化粧品,衣類・衣類付属品（織物）,衣類・衣類付属品（編物）,鉄鋼,魚介類・甲殻類,電気機器・録音機・テレビ等,果実・ナッツ,航空機・宇宙船・同部品,一般機械・原子炉・ボイラー等,ココア・ココア調製品,鉱物燃料・エネルギー（原油・石炭等）,穀物,医薬品,自動車・同部品,電気機器・録音機・テレビ等,鉄鋼,一般機械・原子炉・ボイラー等,動物性・植物性油脂,糖類・砂糖菓子,塩・硫黄・土石類・セメント,アメリカ,72.2%,メキシコ,4.7%,カナダ,4.0%,フランス,3.3%,インド,1.8%,マレーシア,1.5%,スペイン,1.2%,タイ,1.2%,中国,0.9%,シンガポール,0.9%,2017,UN Comtrade / IMF DOTS (2017年)
イラン,IRN,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼,プラスチック・同製品,有機化学品,肥料,銅・同製品,果実・ナッツ,アルミニウム・同製品,鉱石・スラグ・灰,塩・硫黄・土石類・セメント,穀物,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,特殊取扱品（その他）,自動車・同部品,動物性・植物性油脂,有機化学品,採油用種子・果実・藁,医薬品,プラスチック・同製品,中国,20.4%,トルコ,16.7%,"Uzbekistan, Republic of",8.4%,"Afghanistan, Islamic Republic of",6.2%,パキスタン,5.8%,"Armenia, Republic of",4.6%,"Azerbaijan, Republic of",4.5%,アラブ首長国連邦,4.0%,インド,3.3%,ロシア,3.1%,2022,UN Comtrade / IMF DOTS (2022年)
イラク,IRQ,鉱物燃料・エネルギー（原油・石炭等）,原料皮・革,動物性生産品（他非分類）,糖類・砂糖菓子,動物（生体）,羊毛・粗毛・馬毛糸・織物,書籍・新聞・絵画・印刷物,無機化学品・貴金属化合物,果実・ナッツ,プラスチック・同製品,,,,,,,,,,,中国,31.7%,インド,25.1%,韓国,8.5%,アラブ首長国連邦,6.7%,アメリカ,5.9%,ギリシャ,4.1%,シンガポール,3.1%,オランダ,3.0%,トルコ,1.8%,フランス,1.7%,2016,UN Comtrade / IMF DOTS (2016年)
キリバス,KIR,動物性・植物性油脂,魚介類・甲殻類,採油用種子・果実・藁,写真用または映画用の材料,医薬品,鉛・同製品,アルミニウム・同製品,一般機械・原子炉・ボイラー等,光学機器・写真用機器・医療用機器,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,採油用種子・果実・藁,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,肉・魚介類の調製品,穀物・粉製品・製菓,糖類・砂糖菓子,たばこ・製造たばこ代用品,穀物,日本,43.5%,New Caledonia,17.5%,アメリカ,13.2%,"Fiji, Republic of",6.0%,ベトナム,3.2%,"Nauru, Republic of",3.0%,Belize,2.8%,インドネシア,2.5%,マレーシア,1.9%,ニュージーランド,1.9%,2021,UN Comtrade / IMF DOTS (2021年)
セントクリストファー・ネービス,KNA,電気機器・録音機・テレビ等,書籍・新聞・絵画・印刷物,飲料・アルコール・酢,真珠・貴金属・宝石・装飾品,アルミニウム・同製品,一般機械・原子炉・ボイラー等,野菜・果実等の調製品,鉄鋼製品,雑品,他の紡織用繊維 of products (セット・古衣類),電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,家具・寝具・照明器具・プレハブ建築,真珠・貴金属・宝石・装飾品,肉・食用屑,プラスチック・同製品,飲料・アルコール・酢,木材・木製品・木炭,鉄鋼製品,,,,,,,,,,,,,,,,,,,,,2017,UN Comtrade / IMF DOTS (2017年)
ラオス,LAO,鉱石・スラグ・灰,真珠・貴金属・宝石・装飾品,紙・板紙・製品,肥料,食用の野菜・根菜,ゴム・同製品,木材パルプ・回収紙,糖類・砂糖菓子,果実・ナッツ,塩・硫黄・土石類・セメント,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉄鋼製品,飲料・アルコール・酢,プラスチック・同製品,鉄鋼,木材パルプ・回収紙,糖類・砂糖菓子,中国,39.9%,ベトナム,24.6%,タイ,21.7%,オーストラリア,5.1%,インド,2.7%,ドイツ,1.4%,日本,0.8%,アメリカ,0.7%,シンガポール,0.4%,デンマーク,0.4%,2023,UN Comtrade / IMF DOTS (2023年)
リベリア,LBR,ゴム・同製品,動物性・植物性油脂,一般機械・原子炉・ボイラー等,ココア・ココア調製品,鉱物燃料・エネルギー（原油・石炭等）,石けん・有機界面活性剤・ワックス,鉄鋼製品,木材・木製品・木炭,玩具・遊戯具・運動用具・同部品,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,穀物,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼製品,プラスチック・同製品,肉・食用屑,動物性・植物性油脂,塩・硫黄・土石類・セメント,アメリカ,28.3%,ポーランド,15.3%,ベルギー,10.6%,ガーナ,8.2%,Cameroon,6.1%,シンガポール,5.6%,マレーシア,5.0%,アラブ首長国連邦,4.5%,モロッコ,1.5%,Côte d'Ivoire,1.5%,2023,UN Comtrade / IMF DOTS (2023年)
リビア,LBY,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,鉄鋼,銅・同製品,有機化学品,アルミニウム・同製品,魚介類・甲殻類,塩・硫黄・土石類・セメント,電気機器・録音機・テレビ等,特殊取扱品（その他）,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,穀物,たばこ・製造たばこ代用品,プラスチック・同製品,家具・寝具・照明器具・プレハブ建築,医薬品,衣類・衣類付属品（編物）,イタリア,21.6%,ドイツ,18.8%,スペイン,8.7%,イギリス,8.3%,フランス,7.8%,ギリシャ,6.5%,オランダ,4.6%,タイ,3.3%,Guatemala,3.2%,インド,3.0%,2019,UN Comtrade / IMF DOTS (2019年)
セントルシア,LCA,飲料・アルコール・酢,果実・ナッツ,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,紙・板紙・製品,なめし・染色エキス・塗料・インキ,塩・硫黄・土石類・セメント,時計・同部品,鉱物燃料・エネルギー（原油・石炭等）,船舶・浮体構造物,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,肉・食用屑,プラスチック・同製品,飲料・アルコール・酢,酪農品・鳥卵・蜂蜜,家具・寝具・照明器具・プレハブ建築,穀物・粉製品・製菓,,,,,,,,,,,,,,,,,,,,,2020,UN Comtrade / IMF DOTS (2020年)
リヒテンシュタイン,LIE,特殊取扱品（その他）,,,,,,,,,,特殊取扱品（その他）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
モナコ,MCO,特殊取扱品（その他）,,,,,,,,,,特殊取扱品（その他）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
マーシャル諸島,MHL,船舶・浮体構造物,魚介類・甲殻類,一般機械・原子炉・ボイラー等,特殊取扱品（その他）,鉄鋼,メリヤス編物・クロセ編物,木材・木製品・木炭,動物性・植物性油脂,鉄道車両・軌道部品・交通信号機,家具・寝具・照明器具・プレハブ建築,船舶・浮体構造物,特殊取扱品（その他）,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,鉄鋼製品,電気機器・録音機・テレビ等,鉄道車両・軌道部品・交通信号機,なめし・染色エキス・塗料・インキ,光学機器・写真用機器・医療用機器,肉・食用屑,フィリピン,28.1%,ガーナ,25.8%,Cyprus,5.8%,韓国,5.7%,ドイツ,5.4%,デンマーク,5.0%,インドネシア,3.7%,パキスタン,2.9%,"Tanzania, United Republic of",1.9%,日本,1.6%,2024,UN Comtrade / IMF DOTS (2024年)
マリ,MLI,真珠・貴金属・宝石・装飾品,綿・綿織物,動物（生体）,鉱物燃料・エネルギー（原油・石炭等）,肥料,一般機械・原子炉・ボイラー等,自動車・同部品,採油用種子・果実・藁,鉄鋼,果実・ナッツ,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,穀物,塩・硫黄・土石類・セメント,自動車・同部品,肥料,医薬品,プラスチック・同製品,鉄鋼,Côte d'Ivoire,21.6%,マレーシア,15.2%,オーストラリア,14.6%,インド,13.9%,バングラデシュ,6.4%,Burkina Faso,3.3%,スイス,3.1%,中国,2.8%,Guinea,2.4%,フランス,2.1%,2023,UN Comtrade / IMF DOTS (2023年)
モンゴル,MNG,鉱物燃料・エネルギー（原油・石炭等）,鉱石・スラグ・灰,真珠・貴金属・宝石・装飾品,羊毛・粗毛・馬毛糸・織物,塩・硫黄・土石類・セメント,肉・食用屑,肉・魚介類の調製品,果実・ナッツ,銅・同製品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉄鋼製品,鉄鋼,プラスチック・同製品,ゴム・同製品,医薬品,各種調製食料品,中国,92.5%,スイス,4.5%,ロシア,0.8%,イタリア,0.4%,韓国,0.3%,イラン,0.2%,アメリカ,0.2%,台湾,0.2%,"Kazakhstan, Republic of",0.2%,"Egypt, Arab Republic of",0.1%,2023,UN Comtrade / IMF DOTS (2023年)
ネパール,NPL,動物性・植物性油脂,人造繊維の短繊維,コーヒー・茶・スパイス,じゅうたん・その他の紡織用床用敷物,衣類・衣類付属品（織物）,鉄鋼,食品工業廃棄物・飼料,野菜・果実等の調製品,他の植物性紡織用繊維・紙糸,ウォッディング・フェルト・不織布・紐,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,動物性・植物性油脂,プラスチック・同製品,自動車・同部品,穀物,真珠・貴金属・宝石・装飾品,医薬品,インド,81.4%,アメリカ,6.0%,イギリス,3.1%,ドイツ,1.5%,日本,0.7%,フランス,0.6%,オーストラリア,0.6%,カナダ,0.5%,香港,0.4%,イタリア,0.4%,2022,UN Comtrade / IMF DOTS (2022年)
ナウル,NRU,魚介類・甲殻類,塩・硫黄・土石類・セメント,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,一般機械・原子炉・ボイラー等,玩具・遊戯具・運動用具・同部品,革製品・旅行用具・ハンドバッグ,たんぱく質系物質・接着剤,家具・寝具・照明器具・プレハブ建築,各種化学工業生産品,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,特殊取扱品（その他）,各種調製食料品,船舶・浮体構造物,肉・魚介類の調製品,肉・食用屑,光学機器・写真用機器・医療用機器,鉄鋼製品,タイ,64.4%,Senegal,13.8%,韓国,9.8%,フィリピン,5.0%,オーストラリア,1.9%,日本,1.3%,Ecuador,0.7%,パキスタン,0.5%,ナイジェリア,0.5%,ニュージーランド,0.3%,2024,UN Comtrade / IMF DOTS (2024年)
パラオ,PLW,魚介類・甲殻類,航空機・宇宙船・同部品,一般機械・原子炉・ボイラー等,自動車・同部品,アルミニウム・同製品,鉄鋼,塩・硫黄・土石類・セメント,鉄鋼製品,なめし・染色エキス・塗料・インキ,木材・木製品・木炭,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,飲料・アルコール・酢,肉・食用屑,プラスチック・同製品,光学機器・写真用機器・医療用機器,鉄鋼製品,家具・寝具・照明器具・プレハブ建築,イタリア,60.5%,ギリシャ,25.0%,メキシコ,2.9%,Panama,2.6%,セルビア,1.9%,アラブ首長国連邦,1.4%,台湾,1.1%,日本,1.0%,アメリカ,0.5%,コロンビア,0.4%,2018,UN Comtrade / IMF DOTS (2018年)
パプアニューギニア,PNG,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,鉱石・スラグ・灰,動物性・植物性油脂,魚介類・甲殻類,ニッケル・同製品,木材・木製品・木炭,コーヒー・茶・スパイス,肉・魚介類の調製品,ココア・ココア調製品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,穀物,鉄鋼製品,船舶・浮体構造物,肉・食用屑,プラスチック・同製品,各種調製食料品,オーストラリア,31.4%,日本,14.5%,中国,13.4%,台湾,7.8%,"Korea, Democratic People's Republic of",4.8%,マレーシア,3.3%,イギリス,3.2%,オランダ,3.0%,フィリピン,2.4%,インド,2.2%,2023,UN Comtrade / IMF DOTS (2023年)
北朝鮮,PRK,調製羽毛・羽毛製品・造花・人髪製品,鉱石・スラグ・灰,鉄鋼,鉱物燃料・エネルギー（原油・石炭等）,時計・同部品,光学機器・写真用機器・医療用機器,特殊取扱品（その他）,電気機器・録音機・テレビ等,無機化学品・貴金属化合物,絹,プラスチック・同製品,調製羽毛・羽毛製品・造花・人髪製品,人造繊維の長繊維,動物性・植物性油脂,家具・寝具・照明器具・プレハブ建築,衣類・衣類付属品（編物）,メリヤス編物・クロセ編物,ゴム・同製品,セラミック製品,紙・板紙・製品,中国,72.1%,Burkina Faso,6.2%,セルビア,3.4%,"Curaçao, Kingdom of the Netherlands",1.8%,"Venezuela, República Bolivariana de",1.5%,ナイジェリア,1.3%,Zimbabwe,1.2%,トーゴ,1.1%,Liberia,1.0%,ザンビア,0.9%,2024,UN Comtrade / IMF DOTS (2024年)
ロシア,RUS,鉱物燃料・エネルギー（原油・石炭等）,特殊取扱品（その他）,真珠・貴金属・宝石・装飾品,鉄鋼,肥料,木材・木製品・木炭,一般機械・原子炉・ボイラー等,穀物,アルミニウム・同製品,鉱石・スラグ・灰,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,特殊取扱品（その他）,医薬品,プラスチック・同製品,光学機器・写真用機器・医療用機器,鉄鋼製品,鉄鋼,有機化学品,中国,24.9%,インド,14.7%,トルコ,9.0%,"Uzbekistan, Republic of",6.5%,ベラルーシ,5.2%,"Kazakhstan, Republic of",3.9%,香港,3.6%,アラブ首長国連邦,2.6%,ブラジル,2.0%,"Egypt, Arab Republic of",1.9%,2021,UN Comtrade / IMF DOTS (2021年)
